,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsAmortizedCost,,,54950000.000,31175000.000,55755000.000,58635000.000,20055000.000,30355000.000,48960000.000,67935000.000,62232000.000,40550000.000,45950000.000,45090000.000,38895000.000,25005000.000,20415000.000,16115000.000,19715000.000,14915000.000,15345000.000,29825000.000,25530000.000,20725000.000,21400000.000,117270000.000,96260000.000
AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,,,52721000.000,29740000.000,54007000.000,57189000.000,18558000.000,29248000.000,47804000.000,66674000.000,60004000.000,38796000.000,44157000.000,43661000.000,37463000.000,24085000.000,19834000.000,15516000.000,18894000.000,14155000.000,14471000.000,28670000.000,24451000.000,19705000.000,20596000.000,116527000.000,95639000.000
AvailableForSaleSecuritiesDebtMaturitiesAmortizedCost,,,317858000.000,260448000.000,282650000.000,308912000.000,216613000.000,231268000.000,237466000.000,289138000.000,289470000.000,243052000.000,242046000.000,298105000.000,284063000.000,,,,,,,,,,,,
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearAmortizedCost,,,199095000.000,158008000.000,148641000.000,139344000.000,109030000.000,115773000.000,93389000.000,121784000.000,163015000.000,125011000.000,115109000.000,168349000.000,128339000.000,155375000.000,208047000.000,165332000.000,157646000.000,139704000.000,150455000.000,114458000.000,104001000.000,99623000.000,159670000.000,291314000.000,293156000.000
AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,,,199279000.000,158118000.000,148734000.000,139480000.000,109112000.000,115842000.000,93450000.000,121854000.000,163035000.000,125053000.000,115177000.000,168456000.000,128444000.000,155485000.000,208166000.000,165434000.000,157704000.000,139779000.000,150477000.000,114470000.000,104037000.000,99620000.000,159624000.000,291287000.000,293132000.000
AvailableForSaleSecuritiesDebtSecurities,,,316196000.000,259083000.000,280854000.000,307815000.000,215333000.000,230609000.000,236670000.000,288226000.000,287234000.000,241467000.000,240481000.000,296953000.000,282969000.000,276899000.000,290470000.000,220604000.000,214337000.000,187129000.000,191041000.000,184162000.000,183875000.000,177576000.000,239646000.000,556971000.000,567822000.000
AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,,16965000.000,17196000.000,17840000.000,17477000.000,17729000.000,11028000.000,11418000.000,11369000.000,11189000.000,10197000.000,10671000.000,10632000.000,10997000.000,10993000.000,11505000.000,7419000.000,7401000.000,7179000.000,7240000.000,7126000.000,6845000.000,6921000.000,6980000.000,5196000.000,5257000.000,5379000.000
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses1,,,-2229000.000,1435000.000,1748000.000,1446000.000,,,,,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPosition12MonthsOrLongerAggregateLosses2,,,,,,,-1497000.000,1107000.000,1156000.000,1261000.000,2228000.000,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses1,,,-2252000.000,1725000.000,2140000.000,1507000.000,,,,,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionAggregateLosses2,,,,,,,-1542000.000,1110000.000,1168000.000,1280000.000,2324000.000,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses1,,,-23000.000,290000.000,392000.000,61000.000,,,,,,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesContinuousUnrealizedLossPositionLessThan12MonthsAggregateLosses2,,,,,,,-45000.000,3000.000,12000.000,19000.000,96000.000,,,,,,,,,,,,,,,,
AvailableforsaleSecuritiesGrossUnrealizedGain,,,,,,1000.000,,,2000.000,,,,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,,,,,12919000.000,,,,14150000.000,,,,,,,,,,
Cash,,,34590000.000,41855000.000,44113000.000,43251000.000,107595000.000,54887000.000,56690000.000,32034000.000,67854000.000,39600000.000,45544000.000,37132000.000,56959000.000,63284000.000,52144000.000,48302000.000,65449000.000,68421000.000,59071000.000,76197000.000,,,,,
CashAndCashEquivalentsAtCarryingValue,,118496000.000,134824000.000,108183000.000,94964000.000,98038000.000,173753000.000,125505000.000,105426000.000,79263000.000,193468000.000,116539000.000,95800000.000,128323000.000,93290000.000,111705000.000,141706000.000,112710000.000,125051000.000,135640000.000,114085000.000,126690000.000,101334000.000,148195000.000,141106000.000,225399000.000,210615000.000
CashAndCashEquivalentsFairValueDisclosure,,,134824000.000,108183000.000,94964000.000,98038000.000,173753000.000,125505000.000,105426000.000,79263000.000,193468000.000,116539000.000,95800000.000,128323000.000,93290000.000,111705000.000,141706000.000,112710000.000,125051000.000,135640000.000,114085000.000,126690000.000,,,,,
CommonStockCapitalSharesReservedForFutureIssuance,,,,,10411000.000,,,,8295000.000,,,,6641000.000,,,,5151000.000,,,,3874000.000,,,,2437000.000,,
CommonStockParOrStatedValuePerShare,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CommonStockSharesAuthorized,,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000,250000000.000
CommonStockSharesIssued,,44513000.000,44292000.000,41839000.000,42068000.000,42835000.000,41941000.000,41706000.000,41879000.000,42401000.000,42668000.000,43093000.000,42779000.000,43433000.000,43406000.000,42490000.000,42225000.000,42689000.000,42908000.000,41570000.000,41727000.000,41743000.000,41637000.000,41651000.000,41889000.000,42348000.000,42539000.000
CommonStockSharesOutstanding,,44513000.000,44292000.000,41839000.000,42068000.000,42835000.000,41941000.000,41706000.000,41879000.000,42401000.000,42668000.000,43093000.000,42779000.000,43433000.000,43406000.000,42490000.000,42225000.000,42689000.000,42908000.000,41570000.000,41727000.000,41743000.000,41637000.000,41651000.000,41889000.000,42348000.000,42539000.000
CommonStockValue,,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000,4000.000
ConvertibleDebtNoncurrent,,,,,,,,,,,,,,,,,,,,,,,,,,332502000.000,335639000.000
CostMethodInvestments,,,,,,,,,,,,,,,,,,,,,,,,,2800000.000,,
DebtInstrumentFairValue,,,,,,,,,,,,,,,,,87400000.000,,,,77500000.000,,,,72500000.000,0.000,0.000
DecreaseInUnrecognizedTaxBenefitsIsReasonablyPossible,,,,,,,,,,,,,,,,,,,,900000.000,,1100000.000,1100000.000,1200000.000,,1900000.000,1900000.000
DeferredIncomeTaxLiabilities,,,,,,,,,31176000.000,,,,42355000.000,,,,38535000.000,,,,64855000.000,,,,62958000.000,,
DeferredTaxAssetsDeferredIncome,,,,,3895000.000,,,,3933000.000,,,,5733000.000,,,,8117000.000,,,,7413000.000,,,,9338000.000,,
DeferredTaxAssetsGross,,,,,82960000.000,,,,73571000.000,,,,77466000.000,,,,69580000.000,,,,98630000.000,,,,100831000.000,,
DeferredTaxAssetsHedgingTransactions,,,,,699000.000,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsLiabilitiesNet,,,,,30462000.000,,,,40281000.000,,,,31336000.000,,,,27590000.000,,,,23511000.000,,,,25512000.000,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,,,,,,,,,,,,,,,,19155000.000,,,,,,,
DeferredTaxAssetsNet,,,,,82960000.000,,,,71457000.000,,,,73691000.000,,,,66125000.000,,,,88366000.000,,,,88470000.000,,
DeferredTaxAssetsNetCurrent,,9461000.000,10271000.000,10617000.000,11563000.000,4941000.000,6170000.000,15870000.000,16652000.000,15411000.000,16387000.000,17356000.000,18878000.000,15203000.000,17658000.000,18064000.000,21173000.000,17364000.000,17815000.000,,,,,,,,
DeferredTaxAssetsOperatingLossCarryforwards,,,,,21479000.000,,,,35847000.000,,,,38399000.000,,,,31518000.000,,,,25869000.000,,,,21187000.000,,
DeferredTaxAssetsTaxCreditCarryforwardsResearch,,,,,5556000.000,,,,8447000.000,,,,9276000.000,,,,9740000.000,,,,13335000.000,,,,15068000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,9963000.000,,,,8133000.000,,,,6757000.000,,,,6353000.000,,,,8757000.000,,,,7396000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,122000.000,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsUnrealizedLossesOnAvailableforSaleSecuritiesGross,,,,,629000.000,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxAssetsValuationAllowance,,,,,,,,,2114000.000,,,,3775000.000,,,,3455000.000,,,,10264000.000,,,,12361000.000,,
DeferredTaxLiabilities,,,,,52498000.000,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesFinancingArrangements,,,,,33023000.000,,,,,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,18562000.000,,,,28653000.000,,,,38444000.000,,,,33630000.000,,,,33020000.000,,,,25785000.000,,
DeferredTaxLiabilitiesNoncurrent,,,,,,,,,,,,,,,,,,,,,13741000.000,,,,13119000.000,,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,,,,,,,,,,,,,,,,,,27495000.000,,,,31165000.000,,
EmployeeRelatedLiabilitiesCurrent,,,,,17948000.000,,,,22298000.000,,,,24896000.000,,,,28443000.000,,,,27304000.000,,,,28781000.000,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,56100000.000,48700000.000,41000000.000,50900000.000,48600000.000,47600000.000,41400000.000,60000000.000,54700000.000,60100000.000,51200000.000,73000000.000,67900000.000,60300000.000,51200000.000,76700000.000,66200000.000,55300000.000,47500000.000,77300000.000,68900000.000,59400000.000,52100000.000,88800000.000,81000000.000
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,30955000.000,,,,31490000.000,,,,45057000.000,,,,53580000.000,,,,80109000.000,,,,85416000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,,11213000.000,,,,17060000.000,,,,19331000.000,,,,26677000.000,,,,24957000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,,8364000.000,,,,14309000.000,,,,14251000.000,,,,13298000.000,,,,10308000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,,9331000.000,,,,15052000.000,,,,16690000.000,,,,15530000.000,,,,14697000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,,,9981000.000,,,,16019000.000,,,,17715000.000,,,,20995000.000,,,,17192000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,,,10372000.000,,,,16669000.000,,,,18682000.000,,,,23012000.000,,,,22890000.000,,
FiniteLivedIntangibleAssetsGross,,,,,82010000.000,,,,107430000.000,,,,158050000.000,,,,168601000.000,,,,200223000.000,,,,188981000.000,,
Goodwill,,117215000.000,117215000.000,115489000.000,115489000.000,115489000.000,115489000.000,130069000.000,130265000.000,130265000.000,130265000.000,227289000.000,228781000.000,228781000.000,228781000.000,228781000.000,228781000.000,264687000.000,263925000.000,263925000.000,272722000.000,272722000.000,272722000.000,272722000.000,276130000.000,288629000.000,288629000.000
IntangibleAssetsGrossExcludingGoodwill,,,,,,,,,,,,,176650000.000,,,,168601000.000,,,,201463000.000,,,,188981000.000,,
IntangibleAssetsNetExcludingGoodwill,,68836000.000,66280000.000,63787000.000,60005000.000,57725000.000,55447000.000,94611000.000,90750000.000,87910000.000,85115000.000,136054000.000,131593000.000,128453000.000,124106000.000,119854000.000,115021000.000,135049000.000,128196000.000,121208000.000,121354000.000,113800000.000,106246000.000,100320000.000,103565000.000,103638000.000,96819000.000
InterestRateCashFlowHedgeGainLossToBeReclassifiedDuringNext12MonthsNet,,,1800000.000,1800000.000,1700000.000,1700000.000,1300000.000,-500000.000,-500000.000,-500000.000,500000.000,-500000.000,-500000.000,-500000.000,-500000.000,-500000.000,-400000.000,-400000.000,-300000.000,-300000.000,-100000.000,-100000.000,-200000.000,-100000.000,100000.000,,
InterestRateCashFlowHedgeLiabilityAtFairValue,,,,,1998000.000,1696000.000,1256000.000,,,,,,,,,,,,,,,,,,,,
InventoryFinishedGoods,,,4172000.000,5994000.000,6755000.000,5702000.000,6431000.000,6537000.000,7476000.000,12223000.000,13260000.000,9881000.000,10768000.000,9625000.000,11096000.000,11510000.000,11991000.000,15256000.000,14609000.000,13850000.000,17121000.000,14234000.000,17454000.000,15252000.000,18823000.000,18815000.000,20374000.000
InventoryNet,,41057000.000,38097000.000,38403000.000,34778000.000,34295000.000,35977000.000,42523000.000,49579000.000,56949000.000,50659000.000,44817000.000,45271000.000,44334000.000,45557000.000,47015000.000,52631000.000,61078000.000,60746000.000,51957000.000,53895000.000,48923000.000,56388000.000,55051000.000,59578000.000,61308000.000,67427000.000
InventoryWorkInProcess,,,33925000.000,32409000.000,28023000.000,28593000.000,29546000.000,35986000.000,42103000.000,44726000.000,37399000.000,34936000.000,34503000.000,34709000.000,34461000.000,35505000.000,40640000.000,45822000.000,46137000.000,38107000.000,36774000.000,34689000.000,38934000.000,39799000.000,40755000.000,42493000.000,47053000.000
Liabilities,,103221000.000,107665000.000,106023000.000,107052000.000,109399000.000,104079000.000,233822000.000,221993000.000,215723000.000,207670000.000,265449000.000,252588000.000,248858000.000,246860000.000,264947000.000,284505000.000,257789000.000,249718000.000,236575000.000,250349000.000,248835000.000,231439000.000,242587000.000,254886000.000,520592000.000,522122000.000
LiabilitiesAndStockholdersEquity,,733510000.000,744257000.000,677345000.000,705991000.000,732810000.000,721274000.000,855043000.000,871966000.000,896633000.000,913021000.000,999727000.000,991150000.000,1010053000.000,1024465000.000,1014917000.000,1042561000.000,1021226000.000,1035931000.000,978051000.000,1011463000.000,998282000.000,992588000.000,1030216000.000,1081844000.000,1399426000.000,1434327000.000
LiabilitiesCurrent,,79681000.000,86144000.000,86743000.000,82838000.000,90346000.000,94379000.000,116159000.000,106378000.000,103804000.000,98442000.000,103857000.000,109147000.000,133121000.000,134750000.000,152730000.000,163314000.000,134822000.000,133395000.000,129341000.000,142321000.000,155096000.000,140980000.000,143847000.000,139695000.000,145293000.000,143243000.000
LiabilitiesNoncurrent,,23540000.000,21521000.000,19280000.000,24214000.000,19053000.000,9700000.000,,,,,,,,,,,,,,,,,,,,
LiabilitiesOtherThanLongtermDebtNoncurrent,,,,,,,,22663000.000,20615000.000,19419000.000,17978000.000,70342000.000,55941000.000,30737000.000,29610000.000,32217000.000,43691000.000,45817000.000,41761000.000,37234000.000,40528000.000,28739000.000,27959000.000,26240000.000,42691000.000,42797000.000,43240000.000
LiabilityForUncertainTaxPositionsNoncurrent,,,,,10943000.000,,,,4364000.000,,,,,,,,,,,,,,,,,,
LongTermDebtCurrent,,,,,,,,5000000.000,5000000.000,5000000.000,5000000.000,5000000.000,7500000.000,8750000.000,10000000.000,11250000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,,,,
LongTermDebtNoncurrent,,,,,,,,95000000.000,95000000.000,92500000.000,91250000.000,91250000.000,87500000.000,85000000.000,82500000.000,80000000.000,77500000.000,77150000.000,74562000.000,70000000.000,67500000.000,65000000.000,62500000.000,72500000.000,72500000.000,,
NotesAndLoansReceivableNetNoncurrent,,,,,,,,,,,,,,,,,,,,,1500000.000,,,,,,
NotionalAmountOfInterestRateCashFlowHedgeDerivatives,,,,,50100000.000,50100000.000,50100000.000,100000000.000,100000000.000,100000000.000,100000000.000,,,,,,,,,,,,,,,,
OffMarketLeaseUnfavorable,,,,,,,,,11794000.000,,,,11268000.000,,,,,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDue,,,,,17670000.000,,,,13478000.000,,,,15475000.000,,,,22403000.000,,,,21415000.000,,,,21047000.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,6630000.000,,,,3523000.000,,,,4232000.000,,,,4463000.000,,,,5438000.000,,,,5139000.000,,
OperatingLeasesFutureMinimumPaymentsDueFutureMinimumSubleaseRentals,,,,,3795000.000,,,,,,,,,,,,,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,1518000.000,,,,1665000.000,,,,1449000.000,,,,1490000.000,,,,1514000.000,,,,2286000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,1515000.000,,,,1866000.000,,,,2350000.000,,,,2517000.000,,,,1812000.000,,,,2432000.000,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,1664000.000,,,,1868000.000,,,,3058000.000,,,,3398000.000,,,,2917000.000,,,,2700000.000,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,3347000.000,,,,2521000.000,,,,3704000.000,,,,4137000.000,,,,4394000.000,,,,3852000.000,,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,,2996000.000,,,,2035000.000,,,,682000.000,,,,6398000.000,,,,5340000.000,,,,4638000.000,,
OtherAccruedLiabilitiesCurrent,,,,,12909000.000,,,,18112000.000,,,,21079000.000,,,,25193000.000,,,,24827000.000,,,,21319000.000,,
OtherAssetsCurrent,,,,,20646000.000,,,,20177000.000,,,,15812000.000,,,,16239000.000,,,,15915000.000,,,,21600000.000,,
OtherAssetsNoncurrent,,29816000.000,28359000.000,26088000.000,34830000.000,36334000.000,40977000.000,37669000.000,36629000.000,28797000.000,25510000.000,39150000.000,28382000.000,23482000.000,22251000.000,21476000.000,29983000.000,24965000.000,24041000.000,26040000.000,55989000.000,53566000.000,50837000.000,51481000.000,76543000.000,58021000.000,61085000.000
OtherLiabilitiesNoncurrent,,,,,7224000.000,,,,2503000.000,,,,11744000.000,,,,29541000.000,,,,26787000.000,,,,15136000.000,,
PreferredStockParOrStatedValuePerShare,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesAuthorized,,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000,10000000.000
PreferredStockSharesIssued,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
PrepaidExpenseAndOtherAssetsCurrent,,,34499000.000,36280000.000,43867000.000,47527000.000,48152000.000,36735000.000,41437000.000,48514000.000,46356000.000,51097000.000,47651000.000,40214000.000,47785000.000,39756000.000,49171000.000,51301000.000,59025000.000,48903000.000,52658000.000,44222000.000,53326000.000,49087000.000,61805000.000,54360000.000,46862000.000
PropertyPlantAndEquipmentGross,,,,,97493000.000,,,,200969000.000,,,,205968000.000,,,,210138000.000,,,,217163000.000,,,,227553000.000,,
PropertyPlantAndEquipmentNet,,29464000.000,28399000.000,27373000.000,25141000.000,24008000.000,23468000.000,136321000.000,135271000.000,135761000.000,135006000.000,134398000.000,132445000.000,130829000.000,129357000.000,128433000.000,132820000.000,131313000.000,130994000.000,130283000.000,131132000.000,130099000.000,130498000.000,130318000.000,129559000.000,130635000.000,130909000.000
RetainedEarningsAccumulatedDeficit,,577167000.000,590539000.000,573848000.000,586653000.000,600973000.000,618839000.000,622098000.000,640793000.000,660827000.000,673439000.000,679970000.000,690612000.000,698722000.000,713001000.000,718609000.000,728633000.000,735011000.000,742586000.000,742091000.000,747749000.000,750256000.000,761872000.000,781890000.000,801999000.000,819641000.000,836210000.000
ShortTermInvestments,,203785000.000,198766000.000,174915000.000,212526000.000,235299000.000,138147000.000,148573000.000,176565000.000,229808000.000,151423000.000,153857000.000,179593000.000,194765000.000,235645000.000,216973000.000,193489000.000,148795000.000,147556000.000,112670000.000,128901000.000,126824000.000,142326000.000,131139000.000,153961000.000,396327000.000,451114000.000
SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleAmountOfUnrecordedBenefit,,,,,3500000.000,,,,1300000.000,1300000.000,1400000.000,1400000.000,1500000.000,,,,600000.000,,,,1100000.000,,,,,,
