,2011-01-01,2011-04-02,2011-07-02,2011-10-01,2011-12-31,2012-03-31,2012-06-30,2012-09-29,2012-12-29,2013-03-30,2013-06-29,2013-09-28,2013-12-28,2014-03-29,2014-06-28,2014-09-27,2015-01-03,2015-04-04,2015-07-04,2015-10-03,2016-01-02,2016-04-02,2016-07-02,2016-10-01,2016-12-31,2017-04-01,2017-07-01
Assets,,1211036000.000,1312818000.000,1331116000.000,1402709000.000,1412064000.000,1425238000.000,1532790000.000,1630109000.000,1597681000.000,1701751000.000,1737557000.000,1812484000.000,1752349000.000,1809162000.000,1806741000.000,1893096000.000,1853186000.000,1889569000.000,1988040000.000,2009113000.000,1912463000.000,1912492000.000,1937705000.000,1946597000.000,1885463000.000,2031859000.000
AssetsCurrent,,672703000.000,709882000.000,722948000.000,782147000.000,785433000.000,788070000.000,876476000.000,957703000.000,913768000.000,956201000.000,944203000.000,970381000.000,909125000.000,960256000.000,955367000.000,1041458000.000,998567000.000,1026048000.000,1118500000.000,1131465000.000,1032841000.000,1022152000.000,1045314000.000,1057086000.000,841850000.000,993697000.000
BusinessAcquisitionContingentConsiderationAtFairValueCurrent,,,,,,,,,14442000.000,14463000.000,14262000.000,9706000.000,,,,,,,,,,,,,,,
BusinessAcquisitionContingentConsiderationAtFairValueNoncurrent,,,,,,,,,15262000.000,15558000.000,15688000.000,6794000.000,,,,,,,,,,,,,,,
BusinessCombinationContingentConsiderationLiability,,,,,,,,,,,,,,,,,7711000.000,,,,0.000,,,,,,
BusinessCombinationContingentConsiderationLiabilityCurrent,,,,,,,,,,,,,,,,,,7661000.000,9022000.000,0.000,,,,,,,
BusinessCombinationContingentConsiderationLiabilityNoncurrent,,,,,,,,,,,,,,,,,,0.000,0.000,,,,,,,,
CashAndCashEquivalentsAtCarryingValue,,248871000.000,86725000.000,81634000.000,233494000.000,300535000.000,237629000.000,254321000.000,382236000.000,397563000.000,312132000.000,201819000.000,286546000.000,277236000.000,207920000.000,133646000.000,340638000.000,377400000.000,244301000.000,288260000.000,381209000.000,395141000.000,205080000.000,140626000.000,299358000.000,154278000.000,173564000.000
CommonStockParOrStatedValuePerShare,,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
CommonStockSharesAuthorized,,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000,150000000.000
CommonStockSharesIssued,,57761103.000,58087327.000,58529586.000,58595421.000,58938891.000,58989420.000,59035891.000,59126639.000,59358011.000,59353894.000,54542594.000,54541879.000,53742906.000,53311864.000,52977519.000,52712193.000,52977519.000,52977519.000,52076784.000,52712193.000,51206395.000,51206395.000,49625609.000,48948670.000,48517417.000,47971577.000
CommonStockSharesOutstanding,,57761103.000,58087327.000,58529586.000,58595421.000,58938891.000,58989420.000,59035891.000,59126639.000,59358011.000,59353894.000,54542594.000,54541879.000,53742906.000,53311864.000,52977519.000,52712193.000,52977519.000,52977519.000,52076784.000,52712193.000,51206395.000,51206395.000,49625609.000,48948670.000,48517417.000,47971577.000
CommonStockValue,,578000.000,581000.000,585000.000,586000.000,589000.000,590000.000,590000.000,591000.000,594000.000,594000.000,545000.000,545000.000,537000.000,533000.000,530000.000,527000.000,526000.000,523000.000,521000.000,518000.000,512000.000,502000.000,496000.000,489000.000,485000.000,480000.000
ConcentrationRiskPercentage,,,,,0.799,,,,,,,,,,,,,,,,,,,,,,
CustomerLoyaltyProgramLiabilityCurrent,,,,,,,,,,,,,,,,,,,,,,10276000.000,,,,11120000.000,
DeferredCompensationLiabilityClassifiedNoncurrent,,,,,,,,,3996000.000,5209000.000,5699000.000,5445000.000,6225000.000,7420000.000,7869000.000,7578000.000,8388000.000,8710000.000,9300000.000,8932000.000,,,,,,,
DeferredFinanceCostsNoncurrentNet,,3155000.000,2978000.000,2801000.000,2624000.000,2447000.000,2270000.000,3074000.000,2878000.000,2682000.000,2486000.000,7961000.000,8088000.000,7758000.000,7407000.000,7043000.000,6677000.000,6361000.000,5952000.000,7235000.000,6813000.000,,,,,,
DeferredTaxAssetsGross,,,,,51302000.000,,,,67668000.000,,,,83007000.000,,,,92364000.000,,,,96261000.000,,,,101320000.000,,
DeferredTaxAssetsInventory,,,,,8979000.000,,,,8974000.000,,,,12378000.000,,,,11253000.000,,,,9019000.000,,,,9226000.000,,
DeferredTaxAssetsLiabilitiesNet,,,,,-89256000.000,,,,-78666000.000,,,,-84121000.000,,,,-84911000.000,,,,94758000.000,,,,95170000.000,,
DeferredTaxAssetsLiabilitiesNetCurrent,,,,,25165000.000,,,,35675000.000,,,,37313000.000,,,,36625000.000,,,,34080000.000,,,,35486000.000,,
DeferredTaxAssetsNetCurrent,,26667000.000,23687000.000,24384000.000,25165000.000,24114000.000,23838000.000,29984000.000,35675000.000,31708000.000,32948000.000,33456000.000,37313000.000,37343000.000,36534000.000,38569000.000,36625000.000,32842000.000,31871000.000,34895000.000,34080000.000,31841000.000,32816000.000,37600000.000,35486000.000,0.000,0.000
DeferredTaxAssetsOther,,,,,4306000.000,,,,5333000.000,,,,5050000.000,,,,6127000.000,,,,5125000.000,,,,5192000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,,,,,7610000.000,,,,8626000.000,,,,5111000.000,,,,8070000.000,,,,8929000.000,,,,10340000.000,,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,7197000.000,,,,8795000.000,,,,9001000.000,,,,10596000.000,,,,10022000.000,,,,9967000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,,,,,5834000.000,,,,16361000.000,,,,14829000.000,,,,13947000.000,,,,15156000.000,,,,16037000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,,,,,5611000.000,,,,4036000.000,,,,4783000.000,,,,4990000.000,,,,4394000.000,,,,3873000.000,,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsDeferredRent,,,,,11765000.000,,,,15543000.000,,,,31855000.000,,,,37381000.000,,,,43616000.000,,,,46685000.000,,
DeferredTaxLiabilities,,,,,-140558000.000,,,,146334000.000,,,,167128000.000,,,,177275000.000,,,,191019000.000,,,,196490000.000,,
DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,,,,,-113976000.000,,,,114140000.000,,,,108155000.000,,,,102298000.000,,,,101160000.000,,,,101632000.000,,
DeferredTaxLiabilitiesNoncurrent,,112453000.000,112261000.000,115982000.000,114421000.000,113773000.000,113355000.000,113280000.000,114341000.000,112015000.000,112171000.000,110708000.000,121434000.000,118032000.000,114878000.000,113173000.000,121536000.000,120275000.000,119230000.000,119499000.000,128838000.000,128815000.000,128682000.000,129278000.000,130656000.000,133552000.000,133251000.000
DeferredTaxLiabilitiesOther,,,,,-2690000.000,,,,3053000.000,,,,4164000.000,,,,4467000.000,,,,5249000.000,,,,4541000.000,,
DefinedBenefitPensionPlanLiabilitiesNoncurrent,,,,,,,,,13557000.000,13584000.000,13611000.000,13638000.000,3768000.000,3613000.000,3458000.000,3303000.000,11031000.000,11029000.000,11029000.000,11029000.000,,,,,,,
DefinedBenefitPlanAccumulatedOtherComprehensiveIncomeBeforeTax,,,,,98000.000,,,,,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanBenefitObligation,,,,,,,,,,,,,,,,,,,,,,,,,62427000.000,,
DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter,,,,,,,,,2200000.000,,,,,,,,,,,,,,,,,,
DefinedBenefitPlanFairValueOfPlanAssets,,,,,,,,,,,,,,,,,,,,,,,,,51213000.000,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,19104000.000,,,,,,,,,,,,,,,,10900000.000,,,,,,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,,,,,,,1714000.000,8019000.000,14324000.000,20590000.000,26238000.000,28505000.000,30766000.000,33035000.000,35152000.000,36111000.000,37076000.000,38110000.000,,,38810000.000,39063000.000,39719000.000
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,,,,,,16400000.000,,,,6400000.000,,,,1900000.000,,,,200000.000,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,,,,,,,,,,200000.000,,,,200000.000,,,200000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,,,,,,,,,,200000.000,,,,200000.000,,,200000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,,,,,,,1800000.000,,,,200000.000,,,,200000.000,,,200000.000,,,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,,,,,,,6200000.000,,,,1900000.000,,,,200000.000,,,,,,
FiniteLivedIntangibleAssetsGross,,,,,,,,,,,,,344582000.000,,,,348063000.000,,,,347924000.000,,,,347738000.000,,
FiniteLivedIntangibleAssetsNet,,,,,258000.000,,,,,,,,,,,,,,,,,,,,,,
ForeignCurrencyCashFlowHedgeAssetAtFairValue,,,,23400000.000,,,,,,,,,,,,,,,,,,,,,,,
ForeignCurrencyCashFlowHedgeLiabilityAtFairValue,,,,23500000.000,24500000.000,18500000.000,,,,,,,,,,,,,,,,,,,,,
ForeignCurrencyContractAssetFairValueDisclosure,,,,,,100000.000,,,,,,,,,,,,,1600000.000,1500000.000,,,,,,,
ForeignCurrencyContractsLiabilityFairValueDisclosure,,,,,,,100000.000,100000.000,,,,,,,,,,,,,,,,,,,
Goodwill,,136570000.000,191050000.000,186536000.000,188679000.000,189696000.000,188621000.000,190470000.000,189749000.000,188731000.000,186957000.000,188006000.000,186077000.000,184604000.000,186173000.000,184196000.000,181975000.000,178859000.000,178753000.000,176633000.000,174874000.000,177238000.000,177540000.000,176956000.000,176009000.000,232925000.000,231709000.000
GoodwillGross,,,,,279456000.000,,,,,188731000.000,186957000.000,188006000.000,186077000.000,184604000.000,186173000.000,184196000.000,181975000.000,178859000.000,178753000.000,176633000.000,174874000.000,177238000.000,177540000.000,176956000.000,176009000.000,232925000.000,231709000.000
GoodwillImpairedAccumulatedImpairmentLoss,,,,,-142886000.000,,,,,,,,,,,,,,,,,,,,,,
IncentiveFromLessor,,,,,,,,,29913000.000,32066000.000,33335000.000,67988000.000,68876000.000,69900000.000,71821000.000,65731000.000,67205000.000,68652000.000,69804000.000,70778000.000,70060000.000,72086000.000,71884000.000,73840000.000,74015000.000,74447000.000,74344000.000
IndefiniteLivedTradeNames,,305733000.000,306356000.000,306234000.000,306176000.000,306109000.000,306028000.000,305962000.000,305884000.000,,,,,,,,,,,,,,,,,,
IndefiniteLivedTrademarks,,,,,,,,,,305807000.000,,,,,,,,,,,,,,,,,
IntangibleAssetsGrossExcludingGoodwill,,,,,,,,,,,,,,344557000.000,344584000.000,344551000.000,,347990000.000,347988000.000,347953000.000,,347963000.000,,,,440442000.000,440454000.000
IntangibleAssetsNetExcludingGoodwill,,,,,,,,,,305974000.000,342883000.000,336596000.000,330258000.000,323967000.000,318346000.000,316046000.000,317297000.000,314955000.000,312836000.000,311842000.000,310848000.000,309853000.000,309017000.000,308973000.000,308928000.000,401379000.000,400735000.000
InventoryFinishedGoods,,217458000.000,458114000.000,385960000.000,347215000.000,265691000.000,377857000.000,375102000.000,349530000.000,284525000.000,429223000.000,440446000.000,417754000.000,363018000.000,538233000.000,519416000.000,444844000.000,358014000.000,544256000.000,511520000.000,469934000.000,376499000.000,587434000.000,552726000.000,487591000.000,434712000.000,610423000.000
InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LettersOfCreditOutstandingAmount,,,,,,,,,,13900000.000,15300000.000,12300000.000,9500000.000,8300000.000,8000000.000,6500000.000,6500000.000,7900000.000,6400000.000,9900000.000,7700000.000,4900000.000,4800000.000,4800000.000,,4800000.000,4500000.000
Liabilities,,498043000.000,579936000.000,559499000.000,597000000.000,569422000.000,557901000.000,599348000.000,644630000.000,574493000.000,680814000.000,1078634000.000,1111753000.000,1023199000.000,1088790000.000,1055160000.000,1106412000.000,1047473000.000,1086630000.000,1145097000.000,1134062000.000,1063746000.000,1145790000.000,1161571000.000,1158473000.000,1113500000.000,1281948000.000
LiabilitiesAndStockholdersEquity,,1211036000.000,1312818000.000,1331116000.000,1402709000.000,1412064000.000,1425238000.000,1532790000.000,1630109000.000,1597681000.000,1701751000.000,1737557000.000,1812484000.000,1752349000.000,1809162000.000,1806741000.000,1893096000.000,1853186000.000,1889569000.000,1988040000.000,2009113000.000,1912463000.000,1912492000.000,1937705000.000,1946597000.000,1885463000.000,2031859000.000
LiabilitiesCurrent,,102717000.000,156654000.000,125917000.000,152753000.000,119094000.000,154934000.000,204163000.000,244235000.000,170474000.000,273650000.000,243707000.000,269139000.000,178674000.000,239760000.000,217802000.000,247971000.000,187532000.000,222260000.000,278793000.000,262718000.000,192881000.000,270961000.000,282145000.000,277609000.000,225047000.000,311984000.000
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,,,,,,,,,,,,,,,,500000000.000,,500000000.000,500000000.000,500000000.000,,500000000.000,500000000.000
LongTermDebtCurrent,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,
LongTermDebtNoncurrent,,236000000.000,236000000.000,236000000.000,236000000.000,236000000.000,186000000.000,186000000.000,186000000.000,186000000.000,186000000.000,586000000.000,586000000.000,586000000.000,586000000.000,586000000.000,586000000.000,586349000.000,586298000.000,585278000.000,584431000.000,580319000.000,580678000.000,580613000.000,580376000.000,581621000.000,661846000.000
LongTermLineOfCredit,,,,,236000000.000,236000000.000,186000000.000,186000000.000,186000000.000,,,,586000000.000,,,,586000000.000,,,,584431000.000,,,,580376000.000,,
NoncurrentAssets,,,,,122346000.000,,,,,,,,,,,,,,,,,,,,,,
NotionalAmountOfForeignCurrencyDerivatives,,,,,,,8000000.000,8000000.000,,,,,,,,,,,,,,,,,,,
NumberOfStores,,,328.000,351.000,359.000,372.000,385.000,398.000,,,,,,,,,,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDue,,,,,505579000.000,,,,659708000.000,,,,766220000.000,,,,912705000.000,,,,994011000.000,,,,1113709000.000,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,84171000.000,,,,95091000.000,,,,104517000.000,,,,125650000.000,,,,141707000.000,,,,168196000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,49853000.000,,,,67941000.000,,,,81257000.000,,,,90057000.000,,,,104317000.000,,,,121468000.000,,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,58250000.000,,,,72922000.000,,,,86007000.000,,,,108653000.000,,,,115097000.000,,,,135174000.000,,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,70682000.000,,,,78579000.000,,,,91417000.000,,,,115889000.000,,,,127376000.000,,,,148086000.000,,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,78966000.000,,,,85407000.000,,,,100617000.000,,,,121100000.000,,,,136104000.000,,,,161073000.000,,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,,163657000.000,,,,259768000.000,,,,302405000.000,,,,351356000.000,,,,369410000.000,,,,379712000.000,,
OtherAccruedLiabilitiesCurrent,,,,,14499000.000,,,,16800000.000,15488000.000,16563000.000,19766000.000,25925000.000,21896000.000,27783000.000,33676000.000,29780000.000,29545000.000,11023000.000,13332000.000,,,,,,,
OtherAssetsNoncurrent,,322000.000,445000.000,499000.000,479000.000,399000.000,436000.000,3268000.000,3597000.000,4333000.000,5130000.000,4566000.000,9795000.000,10109000.000,11305000.000,11214000.000,12592000.000,12786000.000,12842000.000,12525000.000,13409000.000,15258000.000,17749000.000,18022000.000,18700000.000,23034000.000,23246000.000
OtherIntangibleAssetsNet,,,311000.000,268000.000,,244000.000,221000.000,210000.000,188000.000,,,,,,,,,,,,,,,,,,
OtherLiabilitiesCurrent,,49640000.000,37226000.000,42426000.000,49949000.000,51484000.000,34012000.000,89158000.000,94610000.000,72590000.000,74062000.000,85107000.000,105129000.000,75235000.000,75561000.000,100473000.000,97728000.000,93403000.000,76451000.000,105199000.000,105070000.000,102494000.000,80595000.000,126922000.000,119177000.000,123661000.000,94644000.000
OtherLiabilitiesNoncurrent,,46873000.000,75021000.000,81600000.000,93826000.000,100555000.000,103612000.000,95905000.000,100054000.000,106004000.000,108993000.000,138219000.000,135180000.000,140493000.000,148152000.000,138185000.000,150905000.000,153317000.000,158842000.000,161527000.000,158075000.000,161731000.000,165469000.000,169535000.000,169832000.000,173280000.000,174867000.000
OtherPostretirementDefinedBenefitPlanLiabilitiesNoncurrent,,,,,,,,,6201000.000,6265000.000,6329000.000,6201000.000,5055000.000,5069000.000,5122000.000,5458000.000,4731000.000,4731000.000,4731000.000,4731000.000,,,,,,,
PreferredStockParOrStatedValuePerShare,,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010,0.010
PreferredStockSharesAuthorized,,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000,100000.000
PreferredStockSharesIssued,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockSharesOutstanding,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PreferredStockValue,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PrepaidExpenseCurrent,,19650000.000,16689000.000,16412000.000,18519000.000,16425000.000,16858000.000,16913000.000,22216000.000,21612000.000,48621000.000,22872000.000,35157000.000,26362000.000,43684000.000,31258000.000,34788000.000,34718000.000,48475000.000,37260000.000,38672000.000,36791000.000,46189000.000,43155000.000,32180000.000,46153000.000,44527000.000
PropertyPlantAndEquipmentGross,,,,,290400000.000,,,,357367000.000,,,,535863000.000,,,,578108000.000,,,,662340000.000,,,,731781000.000,,
PropertyPlantAndEquipmentNet,,92553000.000,101796000.000,111830000.000,122346000.000,127736000.000,139592000.000,153330000.000,170110000.000,182193000.000,208094000.000,256225000.000,307885000.000,316786000.000,325675000.000,332875000.000,333097000.000,341658000.000,353138000.000,361305000.000,371704000.000,377273000.000,386034000.000,388440000.000,385874000.000,386275000.000,382472000.000
PropertyPlantAndEquipmentSalvageValue,,,,,,2000000.000,2000000.000,2000000.000,,,,,,,,,,,,,,,,,,,
ReceivablesNetCurrent,,160057000.000,124667000.000,214558000.000,157754000.000,178668000.000,131888000.000,200156000.000,168046000.000,178360000.000,133277000.000,245610000.000,193611000.000,205166000.000,133885000.000,232478000.000,184563000.000,195593000.000,157145000.000,246565000.000,207570000.000,192569000.000,150633000.000,271207000.000,202471000.000,206707000.000,165183000.000
RestructuringReserveCurrent,,,,,,,,,4251000.000,6522000.000,9264000.000,8210000.000,10656000.000,7754000.000,3487000.000,1337000.000,835000.000,633000.000,13123000.000,12286000.000,,13409000.000,13930000.000,14875000.000,15632000.000,17022000.000,17767000.000
RetainedEarningsAccumulatedDeficit,,502774000.000,515433000.000,549882000.000,584667000.000,616942000.000,637747000.000,697125000.000,745817000.000,787232000.000,797383000.000,671909000.000,705936000.000,730035000.000,729889000.000,764678000.000,809194000.000,834218000.000,831691000.000,875902000.000,910900000.000,879286000.000,796733000.000,807527000.000,822375000.000,805271000.000,780084000.000
RetainedEarningsUndistributedEarningsFromEquityMethodInvestees,,,,,,,,,25000000.000,,,,44200000.000,,,,,,,,,,,,,,
SalesAndExciseTaxPayableCurrent,,,,,5232000.000,,,,5402000.000,6078000.000,4113000.000,7256000.000,8486000.000,7307000.000,4961000.000,8037000.000,5318000.000,7653000.000,3720000.000,7421000.000,,,,,,,
SalesRevenueGoodsNetPercentage,,,,,1.000,,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,,,,,,,,,,,,,,,,,,,,,198400.000,,,,405699.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,,,,,,,,,,,,,,,,,,,,,67.660,,,,81.290,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,,,,,4084290.000,,,,3241657.000,,,,2597512.000,,,,2395041.000,,,,2041526.000,,,,1625371.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,,,,,1141219.000,1274144.000,871319.000,843854.000,834353.000,941211.000,923652.000,,867115.000,,,,897095.000,,,,953780.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,,,,,20.290,22.670,25.040,25.200,25.220,28.830,28.820,,28.580,,,,33.410,,,,38.080,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,,,,,,58401000.000,57051000.000,69817000.000,69346000.000,59895000.000,59904000.000,46914000.000,,68389000.000,,,,60556000.000,,,,49696000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,,,,,2078433.000,2197933.000,1784283.000,1702308.000,1677741.000,1664766.000,1627107.000,,1486390.000,,,,1423660.000,,,,1441210.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,22.620,,,,26.140,31.610,34.940,35.290,35.370,40.070,40.160,,39.990,,,,46.560,,,,52.700,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestExercisableAggregateIntrinsicValue,,,,,,,,,38746000.000,44083000.000,42718000.000,42894000.000,38256000.000,44444000.000,37081000.000,,49786000.000,,,,49900000.000,,,,46103000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingAggregateIntrinsicValue,,,,,,,,,57231000.000,56167000.000,67934000.000,67516000.000,57857000.000,58390000.000,45926000.000,,66433000.000,,,,59684000.000,,,,49504000.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,,,,,,,,,2020036.000,2132918.000,1719751.000,1641726.600,1596523.000,1591368.000,1555647.000,,1419359.000,,,,1363590.000,,,,1384830.000,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,,,,,,,,,25.910,31.220,34.570,34.910,34.830,39.360,39.450,,39.200,,,,45.310,,,,51.340,,
SharebasedCompensationSharesAuthorizedUnderStockOptionPlansExercisePriceRangeExercisableOptionsWeightedAverageRemainingContractualTerm1,,,,,4.910,,,,,,,,,,,,,,,,,,,,,,
